PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4 ,Epoch5,RMS5,
J0340+4130,GBT,4,2005,nan,2012,1.0770909586985,2021,1.07801680622327,2026,1.07801680622327,,,
J0605+3757,GBT,4,2005,nan,2017,2.08494941888376,2021,2.08521994341464,2026,2.08521994341464,,,
J0610-2100,GBT,4,2005,nan,2017,0.996646680528534,2021,0.998249985212169,2026,0.998249985212169,,,
J0613-0200,GBT,4,2005,0.821076702682463,2010,0.269767815405133,2021,0.271018463744861,2026,0.271018463744861,,,
J0636+5128,GBT,4,2005,nan,2014,0.313521786876071,2021,0.31560748905499,2026,0.31560748905499,,,
J0645+5158,GBT,4,2005,nan,2011,0.22165641910325,2021,0.222469806705664,2026,0.222469806705664,,,
J0740+6620,GBT,4,2005,nan,2014,0.270038049097254,2021,0.272498720063797,2026,0.272498720063797,,,
J0931-1902,GBT,4,2005,nan,2013,0.911593874549635,2021,0.914628982972707,2026,0.914628982972707,,,
J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2021,0.258746081262579,2026,0.258746081262579,,,
J1012-4235,GBT,4,2005,nan,2017,3.25574462894895,2021,3.25581890245481,2026,3.25581890245481,,,
J1024-0719,GBT,4,2005,nan,2010,0.39354609906852,2021,0.395281833613908,2026,0.395281833613908,,,
J1125+7819,GBT,4,2005,nan,2014,0.58865192257691,2021,0.592140926858272,2026,0.592140926858272,,,
J1455-3330,GBT,4,2005,2.29786541597962,2010,0.783214205297989,2021,0.822133232034302,2026,0.822133232034302,,,
J1600-3053,GBT,5,2005,nan,2008,0.479430902308533,2010,0.140160237737369,2021,0.144462148290399,2026,0.144462148290399,
J1614-2230,GBT,5,2005,nan,2009,0.864004082335676,2010,0.253329172999438,2021,0.267857375090155,2026,0.267857375090155,
J1630+3734,GBT,4,2005,nan,2017,0.548934264333629,2021,0.550779411665899,2026,0.550779411665899,,,
J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2021,0.368400934677841,2026,0.368400934677841,,,
J1705-1903,GBT,4,2005,nan,2017,0.121527236700554,2021,0.1249654697284,2026,0.1249654697284,,,
J1719-1438,GBT,4,2005,nan,2017,1.27452493181737,2021,1.27874869905644,2026,1.27874869905644,,,
J1730-2304,GBT,4,2005,nan,2017,0.374439165424044,2021,0.412285322997706,2026,0.412285322997706,,,
J1744-1134,GBT,4,2005,0.208385918066234,2010,0.0803390726595486,2021,0.0915882179331996,2026,0.0915882179331996,,,
J1747-4036,GBT,4,2005,nan,2012,0.701638942897941,2021,0.701815347401993,2026,0.701815347401993,,,
J1751-2857,GBT,4,2005,nan,2017,2.4939775700816,2021,2.49464575997366,2026,2.49464575997366,,,
J1802-2124,GBT,4,2005,nan,2017,0.75670048380844,2021,0.82764226045948,2026,0.82764226045948,,,
J1811-2405,GBT,4,2005,nan,2017,0.368007149650836,2021,0.369426012177573,2026,0.369426012177573,,,
J1832-0836,GBT,4,2005,nan,2013,0.352473060959627,2021,0.354053872479489,2026,0.354053872479489,,,
J1843-1113,GBT,4,2005,nan,2017,0.221951706289253,2021,0.222737178427619,2026,0.222737178427619,,,
J1909-3744,GBT,4,2005,0.0588304743126195,2010,0.0295251284260153,2021,0.0326755113769136,2026,0.0326755113769136,,,
J1911-1114,GBT,4,2005,nan,2017,1.49704356783263,2021,1.49792771962041,2026,1.49792771962041,,,
J1918-0642,GBT,4,2005,0.612316379039227,2010,0.301266850167016,2021,0.305551303278334,2026,0.305551303278334,,,
J2010-1323,GBT,5,2005,nan,2009,1.32281317868958,2010,0.369589102716257,2021,0.377531298264545,2026,0.377531298264545,
J2124-3358,GBT,4,2005,nan,2017,0.83606560168468,2021,0.840039909663517,2026,0.840039909663517,,,
J2145-0750,GBT,4,2005,0.677322757167559,2010,0.22467374015381,2021,0.241656454570246,2026,0.241656454570246,,,
J2302+4442,GBT,4,2005,nan,2012,1.06104288972659,2021,1.06470138075086,2026,1.06470138075086,,,
J225457+573803,GBT,4,2005,nan,2019,0.0295138132027,2021,0.0423730535702,2026,0.0423730535702,,,
J125018-352913,GBT,4,2005,nan,2019,0.0566245750062,2021,0.0859980260808,2026,0.0859980260808,,,
J084223-162450,GBT,3,2005,nan,2020,0.0617401169894,2021,0.0922657522912,2026,0.0922657522912,,,
J112828-132603,GBT,3,2005,nan,2020,0.109308191061,2021,0.1530981978764,2026,0.1530981978764,,,
J011216-224403,GBT,3,2005,nan,2021,0.384414125878,2026,0.384414125878,,,,,
J152159-261119,GBT,3,2005,nan,2021,0.1755540750658,2026,0.1755540750658,,,,,
J0023+0923,AO,4,2005,nan,2012,0.181260030147757,2021,0.182753433015198,2026,0.182753433015198,,,
J0030+0451,AO,5,2005,0.485961294949318,2014,0.324058868505362,2015,0.162029434252681,2021,0.191754339697941,2026,0.191754339697941,
J0406+3039,AO,4,2005,nan,2017,0.440415998370309,2021,0.434861138088034,2026,0.434861138088034,,,
J0509+0856,AO,4,2005,nan,2017,2.89533753581756,2021,2.85220728256079,2026,2.85220728256079,,,
J0557+1551,AO,4,2005,nan,2016,2.17094235576861,2021,2.1383408594712,2026,2.1383408594712,,,
J0621+2514,AO,4,2005,nan,2016,4.03323726075321,2021,3.97241485718212,2026,3.97241485718212,,,
J0709+0458,AO,4,2005,nan,2016,5.81857713683481,2021,5.91958641011246,2026,5.91958641011246,,,
J1022+1001,AO,4,2005,nan,2016,0.611606124311227,2021,0.776434150454421,2026,0.776434150454421,,,
J1312+0051,AO,4,2005,nan,2016,2.0489886398758,2021,2.01903008880622,2026,2.01903008880622,,,
J1453+1902,AO,4,2005,nan,2014,0.878144353181442,2021,0.870905243395339,2026,0.870905243395339,,,
J1640+2224,AO,5,2005,0.257158309942856,2012,0.122896598862569,2015,0.0614482994312843,2021,0.0733168340503316,2026,0.0733168340503316,
J1713+0747,AO,5,2005,0.0839749081912209,2012,0.0486910295022539,2015,0.024345514751127,2021,0.0310293322600802,2026,0.0310293322600802,
J1738+0333,AO,5,2005,nan,2010,1.06767843917669,2012,0.693598726159958,2021,0.686684603783903,2026,0.686684603783903,
J1741+1351,AO,5,2005,nan,2010,0.110516056174874,2012,0.101378816593619,2021,0.115515959331175,2026,0.115515959331175,
J1745+1017,AO,4,2005,nan,2016,0.395578850578834,2021,0.39088798906652,2026,0.39088798906652,,,
J1853+1303,AO,5,2005,nan,2009,0.386118039765167,2012,0.205365121134903,2021,0.210446078117963,2026,0.210446078117963,
B1855+09,AO,4,2005,0.151860601517465,2012,0.123423693983597,2021,0.15103728293172,2026,0.15103728293172,,,
J1903+0327,AO,5,2005,nan,2010,1.484199460154,2012,0.500836408994467,2021,0.493809171457489,2026,0.493809171457489,
J1910+1256,AO,4,2005,1.05623072877593,2012,0.537928754490353,2021,0.571309633012186,2026,0.571309633012186,,,
J1911+1347,AO,4,2005,nan,2015,0.180431787431886,2021,0.192129140185287,2026,0.192129140185287,,,
J1923+2515,AO,5,2005,nan,2011,0.617304317302927,2012,0.375766219348875,2021,0.416028735895402,2026,0.416028735895402,
J1944+0907,AO,5,2005,nan,2008,0.445288512488311,2012,0.299334197754577,2021,0.314378269456754,2026,0.314378269456754,
J1946+3417,AO,4,2005,nan,2015,0.567405594011657,2021,0.560363714246726,2026,0.560363714246726,,,
B1953+29,AO,5,2005,nan,2007,1.61300971686345,2012,0.567411278134336,2021,0.642100426870564,2026,0.642100426870564,
J2017+0603,AO,5,2005,nan,2011,0.777619469398805,2012,0.44786780936958,2021,0.447071343287402,2026,0.447071343287402,
J2033+1734,AO,4,2005,nan,2014,0.555215592654245,2021,0.557101316240058,2026,0.557101316240058,,,
J2043+1711,AO,5,2005,nan,2012,0.110271359016298,2015,0.055135679508149,2021,0.0559494399888957,2026,0.0559494399888957,
J2214+3000,AO,5,2005,nan,2010,5.1993590168702,2012,0.850399148204413,2021,0.842960105544771,2026,0.842960105544771,
J2229+2643,AO,4,2005,nan,2015,0.252862167910612,2021,0.251881049002747,2026,0.251881049002747,,,
J2234+0611,AO,4,2005,nan,2014,0.097219769144087,2021,0.107860639356949,2026,0.107860639356949,,,
J2234+0944,AO,4,2005,nan,2014,0.386679152948557,2021,0.384196744608163,2026,0.384196744608163,,,
J2317+1439,AO,5,2005,0.348763865718504,2013,0.145802214872878,2015,0.0729011074364392,2021,0.0747229596604058,2026,0.0747229596604058,
J2322+2057,AO,4,2005,nan,2015,0.249912862080261,2021,0.258019135575248,2026,0.258019135575248,,,
J184933+202543,AO,4,2005,nan,2019,0.169504856623,2021,0.104606160645146,2026,0.104606160645146,,,
J200538+313936,AO,4,2005,nan,2019,0.0702719111267,2021,0.0932934984642742,2026,0.0932934984642742,,,
J203642+282533,AO,3,2005,nan,2020,0.128155655053,2021,0.119642231649354,2026,0.119642231649354,,,
J024858+255754,AO,3,2005,nan,2020,0.0794745163847,2021,0.137355273955899,2026,0.137355273955899,,,
J020944+250656,AO,3,2005,nan,2021,0.206631287118113,2026,0.206631287118113,,,,,
J204638+334131,AO,3,2005,nan,2021,0.187554718466425,2026,0.187554718466425,,,,,